Estacion_Id,Pfb_Fecha,Lod_Latitud_F5,Lod_Longitud_F5,Lod_Cota,Conductividad,18O,2H,d-excess
G3042,29-jun-09,5969997.357,5794684.531,2.65,130,-5.20,-30.00,11.60
G3043,01-jun-11,5930917.486,5510511.438,138.6086507,,-5.08,-25.74,14.90
G3044,01-jun-11,5977939.33,5532260.232,79.97900164,,-4.72,-26.78,10.98
G3045,01-jun-11,5974288.072,5546071.509,78.13482345,,-4.81,-26.04,12.44
G3046,01-jun-11,5989369.353,5560994.039,54.53120483,,-5.17,-31.21,10.15
G3047,01-jun-11,5969049.312,5560041.537,64.0599475,,-4.90,-31.59,7.61
G3048,01-jun-11,5978256.83,5568931.555,55.98911798,,-4.34,-22.54,12.18
G3049,01-jun-11,5955365.034,5557184.031,79.34624627,,-5.01,-27.14,12.94
G305,15-dic-11,5764833.753,5683249.628,19.76559734,1027,-5.20,-27.60,14.00
G3050,01-jun-11,5935044.994,5552897.773,99.91633317,,-5.30,-30.00,12.40
G3051,01-jun-11,5909962.444,5549881.517,135.499948,,-5.30,-35.00,7.40
G3052,01-jun-11,5915201.204,5516385.2,162.9785223,,-5.30,-34.00,8.40
G3053,01-jun-11,5910756.195,5530672.728,165.3935379,,-5.60,-33.00,11.80
G3054,01-jun-11,5908533.691,5506542.68,173.1906145,,-5.50,-34.00,10.00
G3055,01-jun-11,5921074.966,5495271.408,164.4871341,,-5.40,-26.89,16.31
G3056,01-jun-11,5947745.019,5512416.442,114.3213194,,-5.30,-35.00,7.40
G3057,01-jun-11,5924408.723,5549722.766,117.2806372,,-5.00,-34.00,6.00
G3058,01-jun-11,5946792.517,5524322.716,110,,-5.00,-34.00,6.00
G3059,01-jun-11,5924726.223,5528926.475,138.73474,,-5.02,-26.74,13.42
G306,15-dic-11,5764342.906,5684670.108,20.68071819,1164,-5.43,-30.20,13.27
G3060,01-jun-11,5941395.007,5534323.986,109.8254596,,-5.02,-26.74,13.42
G3061,01-jun-11,5956158.786,5537816.493,89.75676876,,-4.80,-29.00,9.40
G3062,01-jun-11,5960445.045,5528926.475,91,,-5.07,-28.70,11.86
G3063,01-jun-11,5937062.352,5520734.758,123.392801,,-5.40,-31.00,12.20
G3065,01-jun-11,5956221.726,5515495.795,105.5384093,,-4.92,-23.66,15.70
G3066,01-jun-11,5939390.69,5502425.554,129.4173641,,-4.70,-32.00,5.60
G3067,01-jun-11,5933781.512,5538197.293,116.090342,,-5.32,-27.93,14.63
G3068,01-jun-11,5942625.423,5534813.725,109.5982761,,-3.56,-18.16,10.32
